,title,addr,scene_in_the_work
0,R.O.D,東京都台東区蔵前2丁目春日通り,ねねねのマンション近くの橋/全話共通/厩橋
1,R.O.D,東京都台東区蔵前1丁目蔵前橋通り,マンションから追い出された三姉妹が渡った橋/2話/蔵前橋
2,R.O.D,東京都台東区隅田川,三姉妹がくすぶっていた場所/2話/隅田川緑道公園
3,R.O.D,東京都千代田区神田神保町2-3,読子御用達の秘密書店「トト・ブックス」/全話共通/神田古書センター
4,R.O.D,東京都千代田区神田神保町1丁目,読子がよく出没するストリート/全話共通/すずらん通り
5,R.O.D,東京都千代田区神田神保町1-1,本の入った紙袋の束をさげた読子が出てきたところ/全話共通/三省堂書店
6,R.O.D,東京都千代田区神田神保町1-3,悠久堂書店/全話共通
7,R.O.D,東京都千代田区神田神保町1-9,明倫館書店/全話共通
8,R.O.D -THE TV-,東京都台東区蔵前2丁目春日通り,ねねねのマンション近くの橋/全話共通/厩橋
9,R.O.D -THE TV-,東京都台東区蔵前1丁目蔵前橋通り,マンションから追い出された三姉妹が渡った橋/2話/蔵前橋
10,R.O.D -THE TV-,東京都台東区隅田川,三姉妹がくすぶっていた場所/2話/隅田川緑道公園
11,愛してナイト,大阪府寝屋川市香里南之町19,モデルとなった地域
12,アイドルマスター,東京都文京区後楽1−3−61,目標の地/全話共通/東京ドーム
13,アイドルマスター,東京都千代田区外神田1丁目14-7宝田ビル,秋葉原/全話共通/秋葉原ゲーマーズ前
14,アイドルマスター,東京都豊島区南池袋1−27−7,池袋/全話共通/池袋西武前
15,アイドルマスター,東京都世田谷区三軒茶屋2-33-18,"1話 卯月と凛が対話するシーンの現場,7話 凛と武内Ｐと未央が和解するシーンの現場/世田谷丸山公園"
16,アイドルマスター,東京都渋谷区神宮前1丁目,竹下通り：最初のお仕事現場/第一話/竹下通り
17,アイドルマスター,東京都渋谷区渋谷2丁目,渋谷駅前交差点：2個目のお仕事現場/第一話/竹下通り
18,アイドルマスター,岩手県宮古市日立浜町,浄土が浜
19,アイドルマスター,京都府京都市東山区清水1丁目294 ‎,京都/全話共通/清水寺
20,アイドルマスター,東京都新宿区新宿３丁目,新宿駅東口
21,アイドルマスター,東京都渋谷区恵比寿南1丁目,JR恵比寿駅
22,アイドルマスターシンデレラガールズ,東京都文京区後楽1−3−61,目標の地/全話共通/東京ドーム
23,アイドルマスターシンデレラガールズ,東京都千代田区外神田1丁目14-7宝田ビル,秋葉原/全話共通/秋葉原ゲーマーズ前
24,アイドルマスターシンデレラガールズ,東京都豊島区南池袋1−27−7,池袋/全話共通/池袋西武前
25,アイドルマスターシンデレラガールズ,東京都世田谷区三軒茶屋2-33-18,"1話 卯月と凛が対話するシーンの現場,7話 凛と武内Ｐと未央が和解するシーンの現場/世田谷丸山公園"
26,アイドルマスターシンデレラガールズ,東京都渋谷区神宮前1丁目,竹下通り：最初のお仕事現場/第一話/竹下通り
27,アイドルマスターシンデレラガールズ,東京都渋谷区渋谷2丁目,渋谷駅前交差点：2個目のお仕事現場/第一話/竹下通り
28,アイドルマスターシンデレラガールズ,神奈川県横浜市中区海岸通1丁目 ‎,横浜/全話共通/みなとみらい大さん橋
29,アイドルマスターシンデレラガールズ,埼玉県さいたま市中央区新都心8 ‎,埼玉/全話共通/さいたまスーパーアリーナ
30,アイドルマスターシンデレラガールズ,京都府京都市東山区清水1丁目294 ‎,京都/全話共通/清水寺
31,アイドルマスターシンデレラガールズ,東京都稲城市矢野口4015-1,スイーツロード/全話共通/オープンシアターEAST
32,アウトブレイク・カンパニー,東京都千代田区外神田1-15-4新ラジオ会館8F,慎一とミュセルのデートコースにあるアレな店
33,アウトブレイク・カンパニー,東京都千代田区神田平河町4-8-5三光白衣秋葉原ビル,慎一とミュセルのデートコースにある そば店
34,アウトブレイク・カンパニー,東京都中野区東中野,東中野駅
35,アウトブレイク・カンパニー,東京都千代田区外神田一丁目17番6号,秋葉原
36,青い花,神奈川県川崎市高津区久末20,松の湯/7話
37,青い花,福岡県福岡市博多区博多駅中央街1-1,博多駅/15話
38,青い花,神奈川県川崎市多摩区登戸2098,向ヶ丘遊園駅
39,青い花,神奈川県横浜市都筑区池辺町4035−1,ららぽーと横浜
40,青い花,東京都墨田区押上1−1−2,東京スカイツリー/7話
41,青い花,東京都台東区浅草2−3−1,雷門/7話
42,青い花,千葉県成田市古込1−1,北ウイング４F／展望デッキ(成田空港)/12話/成田空港
43,青い花,東京都中野区中野4−1−1,中野サンプラザ/14話
44,青い花,東京都新宿区新宿1丁目19−10サンモールクレスト,シアターサンモール/14話
45,青い花,神奈川県川崎市多摩区登戸,登戸駅/17話
46,蒼き鋼のアルペジオ,神奈川県横須賀市稲岡町82-19,記念艦三笠
47,あかずきんチャチャ,石川県金沢市東蚊爪町2丁目1,原作中に登場/石川県運転免許センター
48,あかずきんチャチャ,石川県金沢市新保本3-84,原作中に登場/スーパーどんたく
49,アキハバラ電脳組,東京都新宿区西新宿1丁目5−1,新宿/全話共通/新宿ルミネ
50,アキハバラ電脳組,東京都千代田区神田駿河台2丁目,御茶ノ水駅/全話共通/御茶ノ水駅
51,アキハバラ電脳組,東京都千代田区神田駿河台4-1-3,ニコライ堂/全話共通/ニコライ堂
52,アキハバラ電脳組,東京都千代田区外神田2−16−2,神田明神/全話共通/神田明神裏参道
53,アキハバラ電脳組,東京都千代田区外神田1丁目,アキハバラ駅/全話共通/秋葉原駅
54,アクセル・ワールド,東京都杉並区高円寺南3-1 青梅街道沿い,ルック商店街/全話共通
55,アクセル・ワールド,東京都杉並区高円寺南3-56-7,ネルケン/第三話investigation;探索に登場した喫茶店のモデル
56,アクセル・ワールド,東京都杉並区梅里2-11-17,清見寺　光雲閣斎場/第4話Declaration;告白の背景
57,惡の華,群馬県桐生市新宿3丁目13−6,韓国食堂トラヤ/12話
58,惡の華,群馬県桐生市浜松町1丁目11−14,指圧手もみーる/1話
59,惡の華,群馬県桐生市浜松町1丁目12−1,小林三司商店/1話
60,惡の華,群馬県桐生市浜松町2丁目10,藤田アパート/1話
61,惡の華,群馬県桐生市浜松町1丁目6−22,小池商店/1話
62,惡の華,群馬県桐生市稲荷町1−4,桐生市立図書館/2話
63,惡の華,群馬県桐生市菱町3丁目2038−1,小林工務店/3話
64,惡の華,群馬県桐生市新宿1丁目8−1,ブライダルクリエイションつるや/6話
65,惡の華,群馬県桐生市錦町3丁目1-12,おりひめばし/6話
66,惡の華,群馬県桐生市新宿3丁目8-33,英文堂/12話
67,あさきゆめみし,京都府京都市右京区嵯峨野宮町1,六条御息所に光源氏が訪ねた場所/10話/野宮神社
68,あさきゆめみし,京都府京都市右京区嵯峨釈迦堂藤ﾉ木町46,源融の山荘跡に作られた古刹/全話共通/清涼寺
69,あさきゆめみし,京都府京都市北区堀川通北大路下ﾙ西側,紫式部の墓/全話共通/紫式部の墓
70,朝霧の巫女,広島県三次市三次町1112−2,稲生神社/OP/太歳神社
71,朝霧の巫女,広島県三次市三次町,物語の原点、山頂付近の神籠石(通称：たたり岩)/全話共通/比熊山
72,朝霧の巫女,広島県三次市十日市南一丁目,乱裁と巫女三姉妹が最初に激突した場所//三次駅
73,朝霧の巫女,広島県三次市三次町1104,珠ちゃんが立っていたお店//細田食料品店
74,朝霧の巫女,広島県三次市十日市東4丁目1−30,買い物をしていた所/全話共通/イズミ三次店
75,朝霧の巫女,広島県三次市三次町1535−1,三次フードセンター
76,朝霧の巫女,広島県三次市十日市中一丁目1-10,CCプラザ
77,朝露の巫女　平成稲生物怪録,広島県三次市三次町,巫女姿の柚子が自転車で全力疾走していた橋/巴橋
78,朝露の巫女　平成稲生物怪録,広島県三次市三次町1535-1,忠尋が買い出ししていたお店/三次フードセンター・三次店
79,朝露の巫女　平成稲生物怪録,広島県三次市三次町1112-2,柚子たちの住む稲生神社のモデル/太歳神社
80,あしたのジョー,東京都荒川区南千住2-28,丹下拳闘クラブがあった場所/全話共通/泪橋交差点
81,あしたのジョー,東京都台東区清川2-13,ジョーと段平が初めて出会った場所/全話共通/玉姫公園
82,あそびにいくヨ！,沖縄県那覇市首里金城町1-2首里城公園,首里城
83,あそびにいくヨ！,沖縄県那覇市古波蔵2-25-31,ハンバーガーショップ「A&W」/A&W古波蔵店
84,あそびにいくヨ！,沖縄県那覇市与儀2-20,与儀わんぱく公園/10話
85,あそびにいくヨ！,沖縄県那覇市首里金城町１丁目２,守礼門
86,あそびにいくヨ！,沖縄県那覇市首里金城町１丁目,首里金城町石畳道
87,あそびにいくヨ！,沖縄県那覇市泉崎１丁目２,沖縄県庁
88,あたしンち,東京都西東京市田無4丁目,オープニング背景/OP/田無駅
89,あたしンち,東京都西東京市芝久保町5丁目,田無タワー/全話共通/スカイタワー西東京
90,あっちこっち,千葉県千葉市美浜区高洲三丁目,猫毛海岸駅/全話共通/稲毛海岸駅
91,あっちこっち,千葉県千葉市美浜区高浜3-1-1,猫毛高校/全話共通/稲毛高校
92,あっちこっち,東京都青梅市本町,青梅駅
93,あっちこっち,千葉県千葉市美浜区高洲3-15ベイマークスクエア,伊御がアルバイトするケーキ屋「ハチポチ」/ル・グレ館
94,あの夏で待ってる,長野県小諸市山浦2951-1,海人とイチカが出会った場所/1話/西浦ダム
95,あの夏で待ってる,長野県小諸市,物語の舞台/小諸市
96,あの夏で待ってる,長野県小諸市懐古園311,主人公たちが映画撮影をした場所/5話/小諸城址懐古園
97,あの夏で待ってる,長野県小諸市懐古園314-2,懐古神社/10話
98,あの夏で待ってる,長野県小諸市本町2丁目2-9,ほんまち町家館　みはらし庭　10話
99,あの夏で待ってる,長野県小諸市懐古園311,懐古園　3の門　5話
100,あの夏で待ってる,長野県小諸市懐古園311,懐古園　カンバン前　5話
101,あの夏で待ってる,長野県小諸市甲,乙女駅　OP
102,あの夏で待ってる,長野県小諸市平原661,繰矢橋　OP
103,あの夏で待ってる,長野県小諸市甲1275-2,小諸市文化センター9話
104,あの日見た花の名前を僕達はまだ知らない。,埼玉県秩父市桜木町21−3,超平和バスターズの遊び場/秩父札所17番定林寺
105,あの日見た花の名前を僕達はまだ知らない。,埼玉県秩父市阿保町3795,旧秩父橋/1話
106,あの日見た花の名前を僕達はまだ知らない。,埼玉県秩父市大字大宮6267,羊山公園/OP
107,あの日見た花の名前を僕達はまだ知らない。,埼玉県秩父市滝の上町9−22,じんたんとあなるの通う高校/全話共通/秩父第一中学校
108,あの日見た花の名前を僕達はまだ知らない。,埼玉県秩父市大字大宮6267,芝桜の丘/2話
109,あの日見た花の名前を僕達はまだ知らない。,埼玉県秩父市宮側町18-2,ほっとすぽっと秩父館前/つることあなるが話していたシーン
110,あの日見た花の名前を僕達はまだ知らない。,埼玉県秩父市番場町1−3,秩父神社/4話じんたんとゆきあつが対決したシーン/秩父神社
111,あの日見た花の名前を僕達はまだ知らない。,埼玉県秩父市,西武秩父線が国道140号線「彩甲斐街道」を跨ぐ高架橋付近/2話
112,あの日見た花の名前を僕達はまだ知らない。,埼玉県秩父市上野町805−14,ウニクス秩父/3話
113,あの日見た花の名前を僕達はまだ知らない。,埼玉県秩父市中村町2丁目8−14,秩父第一病院/OP
114,アベノ橋魔法☆商店街,大阪府大阪市阿倍野区阿倍野元町5-16,陰陽師・安倍晴明誕生の地/安倍晴明神社
115,アベノ橋魔法☆商店街,大阪府大阪市阿倍野区,アベノ橋商店街のモデル/王子本通商店街
116,アベノ橋魔法☆商店街,大阪府大阪市阿倍野区阿倍野元町9-4,清明神社本殿のモデル/阿部王子神社
117,アマガミSS,千葉県銚子市川口町２丁目,川口神社
118,アマガミSS,千葉県銚子市川口町2-6385-267,ポートタワー/8話/銚子ポートタワー
119,アマガミSS,千葉県銚子市潮見町,純一が遥に膝枕をしてもらう場面/13話/銚子マリーナ海水浴場
120,アマガミSS,千葉県銚子市春日町2689,輝日東高校/全話共通/銚子高校
121,あまつみそらに！,香川県小豆郡小豆島町,物語の舞台「美空島」/小豆島
122,あまつみそらに！,香川県小豆郡土庄町渕崎甲2421,富ヶ岡八幡宮
123,あまつみそらに！,香川県小豆郡小豆島町福田,福田港ターミナル周辺の道
124,あまつみそらに！,香川県小豆郡土庄町甲24−67,小豆島国際ホテル前
125,あまつみそらに！,香川県小豆郡小豆島町西村甲1941-1,道の駅オリーブ公園前
126,あまつみそらに！,香川県小豆郡小豆島町池田,カエル地蔵/カエル像
127,あまつみそらに！,香川県小豆郡土庄町甲24-67,エンジェルロード
128,あまつみそらに！,香川県小豆郡小豆島町池田1618−3,作中で「旧神社は山の中にあったが、工事で遷座した」とありますが、そのモデルの一つ/城山と亀山八幡、城山神社
129,あまつみそらに！,香川県小豆郡小豆島町西村甲1896-1,千紗ルート、センポクカンパクを探す田んぼ/千枚田
130,あまつみそらに！,香川県小豆郡土庄町甲6190-6,音無夏帆、音無京佳の姉妹の経営する甘味処/土庄港高速艇ターミナル、旭屋旅館前
131,あまんちゅ！,静岡県伊東市湯川571-19,道の駅の舞台/7話/伊東タウンマリン
132,あまんちゅ！,静岡県伊東市新井,ピカリの婆ちゃんの海の家が有る辺り/汐吹公園
133,あまんちゅ！,静岡県伊東市東松原町12−10,夏休みの合宿でヒカリたちが宿泊した宿/26話/東海館
134,あまんちゅ！,静岡県沼津市西浦江梨,てこがダイバーデビューした場所/17話/大瀬海水浴場
135,あまんちゅ！,静岡県伊東市富戸1007-27,てこの中学の友達と腹拵えした場所/23話/緑の中のお食事処 和むら 総本店
136,あまんちゅ！,静岡県伊豆市土肥,温泉丸/36話
137,あまんちゅ！,静岡県伊東市城ヶ崎,てこの友達と行った観光名所/23話/門脇崎灯台
138,あまんちゅ！,静岡県熱海市銀座町6,熱海銀座商店街
139,AMNESIA(アムネシア),東京都豊島区東池袋4−25−9タイムズステーション池袋,トーマと待ち合わせたカフェ/3話/タイムズ スパ・レスタ
140,AMNESIA(アムネシア),東京都豊島区雑司が谷3−15−20,鬼心母神/鬼子母神堂
141,AMNESIA(アムネシア),東京都文京区大塚2丁目1−1,西池大学モデル/全話共通/お茶の水女子大附属中学校
142,AMNESIA(アムネシア),東京都文京区目白台1-1,ザリガニ公園/3話/新大江戸公園
143,AMNESIA(アムネシア),長野県上水内郡信濃町古海4847,信濃のホテル/2話/野尻湖ホテルエルボスコ
144,AMNESIA(アムネシア),東京都文京区小日向四丁目,ケントとの花火の待ち合わせの駅/7話/茗荷谷駅
145,AMNESIA(アムネシア),北海道札幌市中央区北1条西2−1−1,燃える時計塔/1話/札幌市時計台
146,AMNESIA(アムネシア),東京都豊島区南池袋1丁目,駅前背景のモデル/池袋駅前
147,AMNESIA(アムネシア),東京都豊島区東池袋4丁目4-4,イッキとの待ち合わせ場所として出てくる背景/東池袋駅
148,AMNESIA(アムネシア),東京都豊島区南池袋4丁目25−1,ケントと散歩（競歩）をする背景/雑司ヶ谷霊園
149,荒川アンダーザブリッジ,東京都足立区千住橋戸町,千住大橋
150,荒川アンダーザブリッジ,東京都荒川区南千住3-38,白鬚橋
151,荒川アンダーザブリッジ,東京都足立区千住橋戸町,千住大橋階段
152,ARIA,京都府京都市伏見区深草藪之内町68,灯里「おっきな鳥居がいっぱーい！」/単行本１巻１０７頁、アニメ２期５話/伏見稲荷大社
153,ARIA,京都府京都市左京区鞍馬貴船町180,「お天気雨」の扉絵/単行本１巻　「お天気雨」扉絵、画集「Alpha」２２頁/貴船神社
154,ARIA,福島県郡山市駅前1,郡山未来科学館
155,ARIA,静岡県浜松市中区板屋町111,アクトシティー浜松
156,ARIA,静岡県浜松市中区旭町9,ダイワロイ浜松
157,ARIA,静岡県浜松市中区田町223,ビオラ田町
158,アルプスの少女ハイジ,,マイエンフェルト
159,アルプスの少女ハイジ,Heididorf AG Postfach 7304 Maienfeld,ハイジ博物館
160,アルプスの少女ハイジ,,クララがハイジと再会する前に、6週間ほど療養のために滞在していた場所/バート・ラガッツ
161,アルプスの少女ハイジ,,1952/ハイジのモノクロ映画モデル/ベルギューン
162,アルプスの少女ハイジ,,1979/ハイジのテレビドラマモデル/グレヴァザルヴァス
163,苺ましまろ,静岡県浜松市中区広沢2丁目51,千佳たちが通う小学校/全話共通/広沢小学校
164,苺ましまろ,静岡県浜松市中区広沢2丁目17,アナちゃんちから広小までの途中/２話/通学路1
165,苺ましまろ,静岡県浜松市中区利町302-5,五社神社
166,苺ましまろ,静岡県浜松市中区広沢2丁目,赤縞の坂道/全話共通/通学路2
167,苺ましまろ,静岡県浜松市中区蜆塚4丁目,伸恵姉ちゃんのバイト先「スンマルク」/3巻p5/サンマルク蜆塚店
168,苺ましまろ,静岡県浜松市中区蜆塚1丁目6-8,伊藤姉妹が住んでいる自宅のガレージ/4話/伊藤家ガレージ
169,苺ましまろ,静岡県浜松市中区蜆塚1丁目6−7,山口クリニック/12話/多々見クリニック
170,苺ましまろ,静岡県浜松市中区,千佳ちゃん達が買った自販機
171,苺ましまろ,静岡県浜松市中区,休憩所のトイレ
172,苺ましまろ,静岡県浜松市中区蜆塚,メンバーが住んでいる町/全話共通/浜松市中区蜆塚
173,一週間フレンズ。,東京都多摩市関戸1丁目,藤宮さんと長谷が並ぶ背景/2話など/聖蹟桜ヶ丘駅出口
174,一週間フレンズ。,東京都多摩市関戸1-10-1,藤宮さんがクレープ屋のチラシを受け取る/2話/京王聖蹟桜ヶ丘ショッピングセンター前
175,一週間フレンズ。,東京都多摩市関戸1-11-16,クレープ屋が休みで長谷くんが悩むシーン/2話/聖蹟桜ヶ丘駅前交差点
176,一週間フレンズ。,東京都府中市府中町1-8-1,クレープ屋が休みで向かうカラオケ屋/2話/府中駅
177,一週間フレンズ。,東京都日野市南平８丁目８－３,雨の中の下校道/4話/南平丘陵公園
178,一週間フレンズ。,東京都日野市南平7-17-33,緑川駅/4話/南平駅改札口
179,一週間フレンズ。,東京都日野市,長谷くんと藤宮さんが喧嘩して藤宮さんが早退する川/4話/浅川
180,イナズマイレブン,東京都台東区西浅草1丁目,雷門町
181,いなり、こんこん、恋いろは。,京都府京都市伏見区深草薮ﾉ内町68,神社の参道/オープニング/伏見稲荷大社・参道
182,いなり、こんこん、恋いろは。,京都府京都市伏見区深草一坪町,駅/2話/京都伏見稲荷駅
183,いなり、こんこん、恋いろは。,京都府京都市伏見区深草一坪町,駅/オープニング/京都伏見稲荷駅
184,いなり、こんこん、恋いろは。,京都府京都市東山区東小物座町339,ねじりまんぽ（トンネル）/2話/ねじりまんぽ
185,いなり、こんこん、恋いろは。,京都府京都市伏見区深草藪之内町68,神社/2話/伏見稲荷大社
186,いなり、こんこん、恋いろは。,京都府京都市伏見区深草池ﾉ内町55,藤草小学校/2話/京都市立藤森中学校
187,いなり、こんこん、恋いろは。,京都府京都市伏見区深草一ﾉ坪町27,ナンパされる/1話/御食事処いなり
188,いなり、こんこん、恋いろは。,京都府京都市伏見区深草一ﾉ坪町38‐12,ナンパから逃れる/1話/ローソン 伏見稲荷駅前
189,いなり、こんこん、恋いろは。,京都府京都市左京区南禅寺福地町86,トンネル抜けて散歩/2話/南禅寺参道
190,いなり、こんこん、恋いろは。,京都府京都市東山区福稲下高松町,川/1話/疎水
191,犬神さんと猫山さん,東京都小金井市梶野町5丁目,第5話「猫山さんとカラオケ」で登場した東小金井駅南口
192,犬夜叉,栃木県那須郡那須町湯本182,栃木県の那須にある殺生石
193,犬夜叉,栃木県那須郡那須町湯本,湯泉神社
194,イリヤの空、UFOの夏,山梨県甲斐市西八幡,釜藤川/全話共通/開国橋(富士川)
195,イリヤの空、UFOの夏,山梨県南アルプス市上今諏訪1180,直之と加奈が通う園原中学/全話共通/県立白根高校
196,イリヤの空、UFOの夏,山梨県甲斐市富竹新田457-1,鉄人屋/全話共通/ぼんち食堂
197,イリヤの空、UFOの夏,山梨県西八代郡市川三郷町市川大門423-1,直之が女子トイレを取材して教師に叱られた駅「帝都線市川大門駅」/全話共通/市川大門駅
198,IS＜インフィニット・ストラトス＞2,福島県喜多方市字細田7230,坂内食堂/5話
199,IS＜インフィニット・ストラトス＞2,東京都立川市曙町二丁目,立川北駅付近
200,IS＜インフィニット・ストラトス＞2,東京都江東区青海1−3−15,ヴィーナスフォート/9話
201,IS＜インフィニット・ストラトス＞2,神奈川県藤沢市片瀬3丁目15-1,湘南モノレール湘南江の島駅/9話
202,ウィザード・バリスターズ〜弁魔士セシル,東京都台東区花川戸2-2-6,聖知の住む浅草ハイム/全話共通/EBISUビル
203,ウィザード・バリスターズ〜弁魔士セシル,東京都台東区上野4-6-13,オープニングに登場する商店街/全話共通/摩利支天開運商店街
204,ウィザード・バリスターズ〜弁魔士セシル,東京都台東区上野7丁目,オープニング聖知が魔法を使う/全話共通/パンダ橋
205,ウィザード・バリスターズ〜弁魔士セシル,東京都荒川区西日暮里三丁目10番,オープニング夏菜が魔法を使う/全話共通/ゆうやけだんだん
206,ウィザード・バリスターズ〜弁魔士セシル,東京都台東区浅草1丁目1−3,オープニング蜂谷が魔法を使う/全話共通/東京メトロ銀座線浅草駅
207,ウィザード・バリスターズ〜弁魔士セシル,東京都荒川区西日暮里5丁目,オープニング角美が魔法を使う/全話共通/JR西日暮里駅ガード下
208,ウィザード・バリスターズ〜弁魔士セシル,東京都台東区上野6-2-7,バタフライ法律事務所の所在地/全話共通/ABCマート上野店向かい
209,ウィザード・バリスターズ〜弁魔士セシル,東京都台東区花川戸1-1-31 隅田公園,エンディング、Tuleysのマーク/全話共通/タリーズコーヒー 隅田公園店
210,ウィザード・バリスターズ〜弁魔士セシル,東京都台東区浅草2−3−1,エンディング、門/全話共通/浅草寺 宝蔵門
211,ウィザード・バリスターズ〜弁魔士セシル,東京都台東区上野公園2−1,エンディング、ナナジーニが座る/不忍池　弁天堂
212,Wake Up Girls!,宮城県仙台市青葉区木町通2-1-33,メンバー愛用の喫茶店/喫茶ビジュゥ
213,Wake Up Girls!,宮城県仙台市青葉区木町通2丁目2−57,藍里の実家、サインや等身大パネルなど多数/熊谷屋仙台駄菓子本舗
214,Wake Up Girls!,宮城県仙台市青葉区木町通1-2-12,夏夜の元バイト先/オープニング/餃子の天ぱり
215,Wake Up Girls!,宮城県仙台市青葉区中央3−2−1 青葉通ﾌﾟﾗｻﾞ,話中で登場する銀行/秋田銀行仙台支店
216,Wake Up Girls!,宮城県仙台市青葉区本町3−9,オープニングでメンバーが踊っている公園/オープニング/勾当台公園
217,Wake Up Girls!,宮城県仙台市青葉区中央1丁目1-1,オープニング、話中で登場する駅/仙台駅
218,Wake Up Girls!,宮城県仙台市宮城野区榴岡2-1-25BiVi仙台駅東口 4F,アイドル居酒屋LUVYA/アイドル居酒屋LUVYA
219,Wake Up Girls!,宮城県仙台市青葉区旭ケ丘３丁目２７−５,WUGメンバーが練習/仙台市青年文化センター
220,Wake Up Girls!,宮城県仙台市青葉区桜ヶ丘九丁目,WUGメンバーが通う学校/宮城学院中学校高等学校
221,Wake Up Girls!,宮城県仙台市青葉区旭ｹ丘3丁目27−5,WUGメンバーが練習/仙台市青/文化センター
222,WXIII PATLABOR,東京都中央区佃2−3−1,お化けハゼのことについて、刑事が船宿の主人に聞き込み/佃島
223,WORKING!!シリーズ,北海道札幌市清田区平岡公園,平岡公園/13話/平岡公園
224,WORKING!!シリーズ,北海道札幌市南区定山渓温泉,定山渓温泉/8話/定山渓温泉
225,WORKING!!シリーズ,北海道札幌市南区定山渓東3,かっぱ家族の願掛け手湯/8話/かっぱ家族の願掛け手湯
226,WORKING!!シリーズ,北海道札幌市北区北6条西3丁目,札幌駅/全話共通/札幌駅
227,WORKING!!シリーズ,北海道札幌市南区定山渓温泉西3丁目,長寿と健康の足つぼの湯/8話/長寿と健康の足つぼの湯
228,WORKING!!シリーズ,北海道札幌市南区定山渓温泉西3丁目,
229,WORKING!!シリーズ,北海道増毛郡増毛町弁天町１丁目２２,寿司のまつくら
230,うさぎドロップ,愛知県名古屋市中区大須1丁目31−4,名古屋市立小学校 大須小学校
231,うさぎドロップ,愛知県名古屋市中村区太閤一丁目19番42号,イオンタウン太閤ショッピングセンター
232,うさぎドロップ,愛知県名古屋市中区大須3丁目33−6,生鮮食品館サノヤ万松寺店
233,うさぎドロップ,東京都国分寺市東恋ヶ窪2-36-35,ジョナサン 東恋ヶ窪店
234,うさぎドロップ,愛知県名古屋市中区錦2-3-16,八木兵株式会社
235,うた∞かた,神奈川県鎌倉市由比ｶﾞ浜2-10-4,鎌倉女子学園全話共通/鎌倉女学院
236,うた∞かた,神奈川県鎌倉市佐助2-25-16,宇賀福神社/全話共通
237,うた∞かた,神奈川県鎌倉市扇ｶﾞ谷1丁目,源氏山公園/全話共通
238,うた∞かた,神奈川県鎌倉市小町1丁目,鎌倉駅/全話共通
239,うた∞かた,神奈川県鎌倉市雪ﾉ下2-1-31,鶴岡八幡宮/全話共通
240,うたのプリンスさまっ,東京都渋谷区恵比寿4−20,早乙女学園のモデル/全話共通/恵比寿ガーデンプレイス
241,うたのプリンスさまっ,東京都豊島区東池袋1-12-8富士喜ビル２階,四ノ宮 那月が食べるパフェ/6話/パフェテラスミルキーウェイ
242,うたのプリンスさまっ,神奈川県横浜市中区新港2−8−1,HAYATOのライブ会場/6話/よこはまコスモワールド
243,うたのプリンスさまっ,東京都千代田区紀尾井町4-1新紀尾井町ビル 1Ｆ,マジレボOPで七海春歌がいたカフェ　AUX BACCHANALES（オーバカナル）
244,うたのプリンスさまっ,東京都渋谷区恵比寿西1-17-1プルミエール恵比寿 1F-A,マルゴデリ（アニメ雑誌でうたプリ御曹司組がもっていたジュース）
245,うたのプリンスさまっ,東京都渋谷区恵比寿4−20,オープニング背景/オープニング/恵比寿ガーデンプレイス
246,うたのプリンスさまっ,東京都墨田区押上1丁目1-2,6話　背景カットで多数登場するシャイニングタワー/東京スカイツリー
247,うたのプリンスさまっ,東京都墨田区押上１丁目1-2,6話　背景カットで多数登場するシャイニングタワー駅/東京スカイツリー駅
248,宇宙兄弟,茨城県つくば市千現2-1-1,宇宙航空研究開発機構
249,有頂天家族,京都府京都市左京区下鴨泉川町59,下鴨家が暮らす場所/下鴨神社
250,有頂天家族,京都府京都市左京区田中下柳町47 ‎ 付近,賀茂大橋/1話
251,有頂天家族,京都府京都市左京区賀茂大橋 付近,鴨川デルタ/OP
252,有頂天家族,京都府京都市下京区烏丸通七条下る東塩小路町721-1,京都タワー/1話
253,有頂天家族,京都府京都市中京区東洞院通六角下ﾙ御射山町260ロイヤルプラザビル1-A,珈琲蔦屋/9話
254,有頂天家族,京都府京都市東山区四条大橋東詰,京都四篠南座/先行上映イベント開催地
255,有頂天家族,京都府京都市中京区寺町通三条下ル桜之町405,５話、金曜倶楽部に登場するすき焼き屋/三嶋亭
256,うぽって!!,静岡県熱海市東海岸町,お宮の松
257,うぽって!!,静岡県熱海市和田浜南町8番15号,熱海秘宝館
258,うぽって!!,静岡県熱海市曽我山1993,熱海城
259,うぽって!!,静岡県熱海市和田浜南町8-15,アタミロープウェイ
260,うぽって!!,静岡県熱海市渚町2-13,ふんこたち4人が行った場所/あいじょう岬
261,海がきこえる,高知県高知市丸の内1-2-1,高知城
262,海がきこえる,高知県高知市はりやま町1丁目,はりまや橋
263,海がきこえる,高知県高知市帯屋町1丁目付近,帯屋町商店街
264,海がきこえる,高知県高知市追手筋2丁目高知追手前高等学校,杜崎拓、武藤里伽子、松野豊が通う高校
265,海がきこえる,高知県高知市丸ノ内1丁目,高知の導入シーンで出てくる高知城
266,海がきこえる,高知県高知市唐人町鏡川の天神大橋,杜崎拓がよく自転車で渡っていた橋
267,海がきこえる,高知県高知市帯屋町1丁目帯屋町アーケード,杜崎拓と松野豊が歩いていたアーケード
268,海がきこえる,高知県高知市はりまや町1丁目1-15カラオケセントラル,武藤里伽子と小浜裕実が話をしていた商店街
269,海がきこえる,高知県高知市帯屋町1丁目ポポロ東宝,杜崎拓と松野豊が別れた商店街
